"SEX","AGE","GEO","CITIZEN","ASYL_APP","UNIT","TIME","Value","Flag and Footnotes"
"Males","Less than 14 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","50",""
"Males","Less than 14 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","50",""
"Males","Less than 14 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","80",""
"Males","Less than 14 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","75",""
"Males","Less than 14 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","270",""
"Males","Less than 14 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","440",""
"Males","Less than 14 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,075",""
"Males","Less than 14 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","3,040",""
"Males","Less than 14 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","205",""
"Males","Less than 14 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","185",""
"Males","Less than 14 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,135",""
"Males","Less than 14 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","2,005",""
"Males","Less than 14 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","6,810",""
"Males","Less than 14 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","6,590",""
"Males","Less than 14 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,785",""
"Males","Less than 14 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","2,265",""
"Males","Less than 14 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","150",""
"Males","Less than 14 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","45",""
"Males","Less than 14 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","215",""
"Males","Less than 14 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","215",""
"Males","Less than 14 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","115",""
"Males","Less than 14 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","115",""
"Males","Less than 14 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","15",""
"Males","Less than 14 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Males","Less than 14 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","730",""
"Males","Less than 14 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","710",""
"Males","Less than 14 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,345",""
"Males","Less than 14 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","3,790",""
"Males","Less than 14 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,920",""
"Males","Less than 14 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","2,850",""
"Males","Less than 14 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","125",""
"Males","Less than 14 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","120",""
"Males","Less than 14 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5",""
"Males","Less than 14 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","5",""
"Males","Less than 14 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","495",""
"Males","Less than 14 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","485",""
"Males","Less than 14 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,445",""
"Males","Less than 14 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","3,320",""
"Males","Less than 14 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","158,905",""
"Males","Less than 14 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","153,855",""
"Males","From 14 to 17 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","80,865",""
"Males","From 14 to 17 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","79,525",""
"Males","From 14 to 17 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,490",""
"Males","From 14 to 17 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","1,405",""
"Males","From 14 to 17 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,625",""
"Males","From 14 to 17 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","2,610",""
"Males","From 14 to 17 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","30",""
"Males","From 14 to 17 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Males","From 14 to 17 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,145",""
"Males","From 14 to 17 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","1,140",""
"Males","From 14 to 17 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","49,505",""
"Males","From 14 to 17 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","48,860",""
"Males","From 14 to 17 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Males","From 14 to 17 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Males","From 14 to 17 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","65",""
"Males","From 14 to 17 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","65",""
"Males","From 14 to 17 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,530",""
"Males","From 14 to 17 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","3,520",""
"Males","From 14 to 17 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","285",""
"Males","From 14 to 17 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","280",""
"Males","From 14 to 17 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,205",""
"Males","From 14 to 17 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","1,215",""
"Males","From 14 to 17 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","200",""
"Males","From 14 to 17 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","200",""
"Males","From 14 to 17 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,810",""
"Males","From 14 to 17 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","5,805",""
"Males","From 14 to 17 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","140",""
"Males","From 14 to 17 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","135",""
"Males","From 14 to 17 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Males","From 14 to 17 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Males","From 14 to 17 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","15",""
"Males","From 14 to 17 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","15",""
"Males","From 14 to 17 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","95",""
"Males","From 14 to 17 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","75",""
"Males","From 14 to 17 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,685",""
"Males","From 14 to 17 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","2,660",""
"Males","From 14 to 17 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","40",""
"Males","From 14 to 17 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","40",""
"Males","From 14 to 17 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,595",""
"Males","From 14 to 17 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","1,540",""
"Males","From 14 to 17 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","4,205",""
"Males","From 14 to 17 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","4,145",""
"Males","From 14 to 17 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","330",""
"Males","From 14 to 17 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","260",""
"Males","From 14 to 17 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","50",""
"Males","From 14 to 17 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","35",""
"Males","From 14 to 17 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","95",""
"Males","From 14 to 17 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","95",""
"Males","From 14 to 17 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","225",""
"Males","From 14 to 17 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","225",""
"Males","From 14 to 17 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Males","From 14 to 17 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Males","From 14 to 17 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","235",""
"Males","From 14 to 17 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","230",""
"Males","From 14 to 17 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,940",""
"Males","From 14 to 17 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","1,650",""
"Males","From 14 to 17 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,320",""
"Males","From 14 to 17 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","3,285",""
"Males","From 14 to 17 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","35",""
"Males","From 14 to 17 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","35",""
"Males","From 14 to 17 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Males","From 14 to 17 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Males","From 14 to 17 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","245",""
"Males","From 14 to 17 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","245",""
"Males","From 14 to 17 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,040",""
"Males","From 14 to 17 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","2,010",""
"Males","From 14 to 17 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","83,185",""
"Males","From 14 to 17 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","81,815",""
"Males","From 18 to 34 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","480,925",""
"Males","From 18 to 34 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","460,445",""
"Males","From 18 to 34 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,740",""
"Males","From 18 to 34 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","4,205",""
"Males","From 18 to 34 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","9,130",""
"Males","From 18 to 34 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","8,825",""
"Males","From 18 to 34 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","425",""
"Males","From 18 to 34 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","365",""
"Males","From 18 to 34 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,895",""
"Males","From 18 to 34 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","1,845",""
"Males","From 18 to 34 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","253,845",""
"Males","From 18 to 34 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","246,505",""
"Males","From 18 to 34 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","50",""
"Males","From 18 to 34 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","35",""
"Males","From 18 to 34 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","750",""
"Males","From 18 to 34 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","750",""
"Males","From 18 to 34 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","15,305",""
"Males","From 18 to 34 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","14,645",""
"Males","From 18 to 34 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,295",""
"Males","From 18 to 34 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","5,210",""
"Males","From 18 to 34 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","34,270",""
"Males","From 18 to 34 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","31,205",""
"Males","From 18 to 34 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,325",""
"Males","From 18 to 34 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","1,275",""
"Males","From 18 to 34 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","85,570",""
"Males","From 18 to 34 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","84,540",""
"Males","From 18 to 34 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,145",""
"Males","From 18 to 34 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","1,085",""
"Males","From 18 to 34 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","110",""
"Males","From 18 to 34 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","110",""
"Males","From 18 to 34 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","90",""
"Males","From 18 to 34 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","85",""
"Males","From 18 to 34 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","855",""
"Males","From 18 to 34 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","695",""
"Males","From 18 to 34 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","14,570",""
"Males","From 18 to 34 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","13,675",""
"Males","From 18 to 34 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","820",""
"Males","From 18 to 34 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","740",""
"Males","From 18 to 34 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","8,075",""
"Males","From 18 to 34 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","7,495",""
"Males","From 18 to 34 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","14,070",""
"Males","From 18 to 34 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","12,935",""
"Males","From 18 to 34 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,020",""
"Males","From 18 to 34 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,605",""
"Males","From 18 to 34 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","570",""
"Males","From 18 to 34 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","285",""
"Males","From 18 to 34 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","705",""
"Males","From 18 to 34 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","695",""
"Males","From 18 to 34 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","605",""
"Males","From 18 to 34 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","585",""
"Males","From 18 to 34 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","60",""
"Males","From 18 to 34 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","45",""
"Males","From 18 to 34 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,025",""
"Males","From 18 to 34 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,860",""
"Males","From 18 to 34 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","7,130",""
"Males","From 18 to 34 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","4,845",""
"Males","From 18 to 34 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","14,480",""
"Males","From 18 to 34 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","14,305",""
"Males","From 18 to 34 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","455",""
"Males","From 18 to 34 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","450",""
"Males","From 18 to 34 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","25",""
"Males","From 18 to 34 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","25",""
"Males","From 18 to 34 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,015",""
"Males","From 18 to 34 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","920",""
"Males","From 18 to 34 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","11,495",""
"Males","From 18 to 34 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","11,030",""
"Males","From 18 to 34 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","493,920",""
"Males","From 18 to 34 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","472,865",""
"Males","From 35 to 64 years","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","131,370",""
"Males","From 35 to 64 years","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","120,915",""
"Males","From 35 to 64 years","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,425",""
"Males","From 35 to 64 years","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","1,625",""
"Males","From 35 to 64 years","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,175",""
"Males","From 35 to 64 years","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","1,125",""
"Males","From 35 to 64 years","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","345",""
"Males","From 35 to 64 years","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","225",""
"Males","From 35 to 64 years","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","635",""
"Males","From 35 to 64 years","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","605",""
"Males","From 35 to 64 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","75,100",""
"Males","From 35 to 64 years","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","71,350",""
"Males","From 35 to 64 years","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","20",""
"Males","From 35 to 64 years","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","15",""
"Males","From 35 to 64 years","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","335",""
"Males","From 35 to 64 years","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","330",""
"Males","From 35 to 64 years","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,355",""
"Males","From 35 to 64 years","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","5,035",""
"Males","From 35 to 64 years","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,100",""
"Males","From 35 to 64 years","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","2,060",""
"Males","From 35 to 64 years","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","12,590",""
"Males","From 35 to 64 years","France","Extra-EU28 (current composition)","First time applicant","Person","2016","10,395",""
"Males","From 35 to 64 years","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","240",""
"Males","From 35 to 64 years","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","225",""
"Males","From 35 to 64 years","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10,415",""
"Males","From 35 to 64 years","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","9,925",""
"Males","From 35 to 64 years","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","265",""
"Males","From 35 to 64 years","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","255",""
"Males","From 35 to 64 years","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","50",""
"Males","From 35 to 64 years","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","45",""
"Males","From 35 to 64 years","Lithuania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","80",""
"Males","From 35 to 64 years","Lithuania","Extra-EU28 (current composition)","First time applicant","Person","2016","75",""
"Males","From 35 to 64 years","Luxembourg","Extra-EU28 (current composition)","Asylum applicant","Person","2016","330",""
"Males","From 35 to 64 years","Luxembourg","Extra-EU28 (current composition)","First time applicant","Person","2016","265",""
"Males","From 35 to 64 years","Hungary","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,445",""
"Males","From 35 to 64 years","Hungary","Extra-EU28 (current composition)","First time applicant","Person","2016","2,270",""
"Males","From 35 to 64 years","Malta","Extra-EU28 (current composition)","Asylum applicant","Person","2016","290",""
"Males","From 35 to 64 years","Malta","Extra-EU28 (current composition)","First time applicant","Person","2016","255",""
"Males","From 35 to 64 years","Netherlands","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,520",""
"Males","From 35 to 64 years","Netherlands","Extra-EU28 (current composition)","First time applicant","Person","2016","2,215",""
"Males","From 35 to 64 years","Austria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,140",""
"Males","From 35 to 64 years","Austria","Extra-EU28 (current composition)","First time applicant","Person","2016","2,780",""
"Males","From 35 to 64 years","Poland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,205",""
"Males","From 35 to 64 years","Poland","Extra-EU28 (current composition)","First time applicant","Person","2016","880",""
"Males","From 35 to 64 years","Portugal","Extra-EU28 (current composition)","Asylum applicant","Person","2016","205",""
"Males","From 35 to 64 years","Portugal","Extra-EU28 (current composition)","First time applicant","Person","2016","115",""
"Males","From 35 to 64 years","Romania","Extra-EU28 (current composition)","Asylum applicant","Person","2016","210",""
"Males","From 35 to 64 years","Romania","Extra-EU28 (current composition)","First time applicant","Person","2016","200",""
"Males","From 35 to 64 years","Slovenia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","135",""
"Males","From 35 to 64 years","Slovenia","Extra-EU28 (current composition)","First time applicant","Person","2016","130",""
"Males","From 35 to 64 years","Slovakia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","25",""
"Males","From 35 to 64 years","Slovakia","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Males","From 35 to 64 years","Finland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","655",""
"Males","From 35 to 64 years","Finland","Extra-EU28 (current composition)","First time applicant","Person","2016","595",""
"Males","From 35 to 64 years","Sweden","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,635",""
"Males","From 35 to 64 years","Sweden","Extra-EU28 (current composition)","First time applicant","Person","2016","2,490",""
"Males","From 35 to 64 years","United Kingdom","Extra-EU28 (current composition)","Asylum applicant","Person","2016","5,455",""
"Males","From 35 to 64 years","United Kingdom","Extra-EU28 (current composition)","First time applicant","Person","2016","5,420",""
"Males","From 35 to 64 years","Iceland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","190",""
"Males","From 35 to 64 years","Iceland","Extra-EU28 (current composition)","First time applicant","Person","2016","180",""
"Males","From 35 to 64 years","Liechtenstein","Extra-EU28 (current composition)","Asylum applicant","Person","2016","20",""
"Males","From 35 to 64 years","Liechtenstein","Extra-EU28 (current composition)","First time applicant","Person","2016","15",""
"Males","From 35 to 64 years","Norway","Extra-EU28 (current composition)","Asylum applicant","Person","2016","395",""
"Males","From 35 to 64 years","Norway","Extra-EU28 (current composition)","First time applicant","Person","2016","330",""
"Males","From 35 to 64 years","Switzerland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","2,140",""
"Males","From 35 to 64 years","Switzerland","Extra-EU28 (current composition)","First time applicant","Person","2016","1,855",""
"Males","From 35 to 64 years","Total","Extra-EU28 (current composition)","Asylum applicant","Person","2016","134,115",""
"Males","From 35 to 64 years","Total","Extra-EU28 (current composition)","First time applicant","Person","2016","123,295",""
"Males","65 years or over","European Union (current composition)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","3,410",""
"Males","65 years or over","European Union (current composition)","Extra-EU28 (current composition)","First time applicant","Person","2016","3,205",""
"Males","65 years or over","Belgium","Extra-EU28 (current composition)","Asylum applicant","Person","2016","85",""
"Males","65 years or over","Belgium","Extra-EU28 (current composition)","First time applicant","Person","2016","70",""
"Males","65 years or over","Bulgaria","Extra-EU28 (current composition)","Asylum applicant","Person","2016","35",""
"Males","65 years or over","Bulgaria","Extra-EU28 (current composition)","First time applicant","Person","2016","35",""
"Males","65 years or over","Czech Republic","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Males","65 years or over","Czech Republic","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Males","65 years or over","Denmark","Extra-EU28 (current composition)","Asylum applicant","Person","2016","20",""
"Males","65 years or over","Denmark","Extra-EU28 (current composition)","First time applicant","Person","2016","20",""
"Males","65 years or over","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","Asylum applicant","Person","2016","1,975",""
"Males","65 years or over","Germany (until 1990 former territory of the FRG)","Extra-EU28 (current composition)","First time applicant","Person","2016","1,895",""
"Males","65 years or over","Estonia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Males","65 years or over","Estonia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Males","65 years or over","Ireland","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Males","65 years or over","Ireland","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Males","65 years or over","Greece","Extra-EU28 (current composition)","Asylum applicant","Person","2016","145",""
"Males","65 years or over","Greece","Extra-EU28 (current composition)","First time applicant","Person","2016","140",""
"Males","65 years or over","Spain","Extra-EU28 (current composition)","Asylum applicant","Person","2016","45",""
"Males","65 years or over","Spain","Extra-EU28 (current composition)","First time applicant","Person","2016","45",""
"Males","65 years or over","France","Extra-EU28 (current composition)","Asylum applicant","Person","2016","335",""
"Males","65 years or over","France","Extra-EU28 (current composition)","First time applicant","Person","2016","310",""
"Males","65 years or over","Croatia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Males","65 years or over","Croatia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
"Males","65 years or over","Italy","Extra-EU28 (current composition)","Asylum applicant","Person","2016","40",""
"Males","65 years or over","Italy","Extra-EU28 (current composition)","First time applicant","Person","2016","40",""
"Males","65 years or over","Cyprus","Extra-EU28 (current composition)","Asylum applicant","Person","2016","10",""
"Males","65 years or over","Cyprus","Extra-EU28 (current composition)","First time applicant","Person","2016","10",""
"Males","65 years or over","Latvia","Extra-EU28 (current composition)","Asylum applicant","Person","2016","0",""
"Males","65 years or over","Latvia","Extra-EU28 (current composition)","First time applicant","Person","2016","0",""
